Freq,X,Y,Z
0,0,0,0
3.24,0,0,0.001
6.48,0.001,0.001,0.002
9.73,0.001,0.001,0.002
12.97,0.001,0.001,0.002
16.21,0.002,0.001,0.003
19.45,0.002,0.001,0.005
22.69,0.002,0.001,0.004
25.93,0.004,0.002,0.003
29.18,0.009,0.002,0.004
32.42,0.012,0.002,0.005
35.66,0.023,0.004,0.004
38.9,0.066,0.019,0.011
42.14,0.34,0.118,0.061
45.38,0.382,0.138,0.07
48.63,0.101,0.054,0.023
51.87,0.02,0.047,0.014
55.11,0.015,0.041,0.009
58.35,0.019,0.029,0.006
61.59,0.022,0.014,0.005
64.83,0.017,0.006,0.003
68.08,0.021,0.006,0.003
71.32,0.025,0.009,0.003
74.56,0.02,0.01,0.004
77.8,0.013,0.01,0.004
81.04,0.013,0.008,0.003
84.28,0.016,0.01,0.004
87.53,0.023,0.012,0.005
90.77,0.023,0.012,0.004
94.01,0.016,0.011,0.004
97.25,0.017,0.014,0.005
100.49,0.017,0.019,0.007
103.73,0.017,0.021,0.007
106.98,0.017,0.025,0.009
110.22,0.017,0.023,0.01
113.46,0.017,0.024,0.013
116.7,0.015,0.025,0.014
119.94,0.015,0.022,0.011
123.18,0.016,0.026,0.013
126.43,0.021,0.025,0.019
129.67,0.045,0.036,0.042
132.91,0.062,0.049,0.054
136.15,0.029,0.031,0.034
139.39,0.008,0.031,0.023
142.63,0.008,0.038,0.026
145.88,0.011,0.035,0.026
149.12,0.015,0.025,0.019
152.36,0.02,0.033,0.025
155.6,0.025,0.035,0.026
158.84,0.02,0.037,0.03
162.08,0.012,0.033,0.027
165.33,0.008,0.03,0.025
168.57,0.007,0.028,0.025
171.81,0.008,0.032,0.031
175.05,0.011,0.043,0.045
178.29,0.012,0.033,0.043
181.54,0.01,0.015,0.027
184.78,0.008,0.012,0.017
188.02,0.007,0.017,0.013
191.26,0.006,0.017,0.01
194.5,0.007,0.015,0.008
197.74,0.008,0.012,0.008
200.99,0.007,0.011,0.012
204.23,0.008,0.012,0.019
207.47,0.009,0.017,0.033
210.71,0.011,0.02,0.035
213.95,0.015,0.022,0.027
217.19,0.032,0.037,0.028
220.44,0.056,0.065,0.026
223.68,0.047,0.061,0.02
226.92,0.021,0.035,0.016
230.16,0.012,0.03,0.018
233.4,0.011,0.03,0.021
236.64,0.012,0.032,0.025
239.89,0.015,0.034,0.024
243.13,0.018,0.037,0.02
246.37,0.02,0.046,0.02
249.61,0.023,0.054,0.024
252.85,0.025,0.044,0.029
256.09,0.025,0.034,0.043
259.34,0.036,0.038,0.063
262.58,0.058,0.032,0.06
265.82,0.067,0.023,0.056
269.06,0.041,0.014,0.05
272.3,0.02,0.008,0.048
275.54,0.018,0.006,0.045
278.79,0.017,0.005,0.042
282.03,0.021,0.006,0.047
285.27,0.022,0.006,0.042
288.51,0.018,0.005,0.039
291.75,0.02,0.004,0.035
